id,name,album_id,artists_id,duration_ms,explicit,isrc,track_number
4fjzDf54eBNOlW45mNe14U,Souk Eye,1amYhlukNF8WdaQC3gKkgL,['3AA28KZvwAUcZuOKwyblJQ'],274760,False,GBAYE1800417,11
13bvLz5UWMYh1S8Zcyxh5a,Knots,5jkGq5lwa40asXsTXqnCTS,['5QGL1jcaTUSU4FWSY2Lzi9'],178040,False,USJMZ2000011,11
7fkEpPNcC7pIxobJhceYOg,Disappear,57Xg6JumEnG5i5MBzJVdT7,['6uIst176jhzooPMetg2rtH'],233386,False,GBCFB2200263,8
1BLOVHYYlH4JUHQGcpt75R,Ode To The Mets,2xkZV2Hl1Omi8rk2D7t5lN,['0epOFNiUfyON9EYx7Tpr6V'],351786,True,USRC11902734,9
1034gvAhQZdLBbGvGRs5PD,Sentimental,5YFiRzfeBj7OxhnzvGX6zP,['75OAateHuZqLOOKCjw8VQj'],250385,False,CA2JN1900008,4
0wEo4mwfs6tXYgCem9m9wP,The Wind - Remastered 2021,7ez8WRX4sGhKHZryJPJCNg,['08F3Y3SctIlsOEmKd6dnH8'],102986,False,GBUM72104751,1
7cIzH5nBtAMGX7woHj0ubJ,Orange-coloured day,2C0Ph5jfNoHIP6yyDsIF7U,['5zVu34ozw0BzXIcNHqkO0u'],168218,False,USUG12401836,2
3qR5qRQptcfTnNxhDikgHo,Sens à la limite,5IPitUyJSjHfVlxF2QyKYq,['1NvSNQaybQB7W6AfbhPvwy'],153339,False,ES26E2300074,5
1aagrgk94erGgbJNzMSvty,Beware of the Dogs,0E1M8jS13CQ4MibjrIqtpW,['2mHjhKyKCLh6MZELuCe1Es'],215327,False,US38W1937210,10
38CnBT7s4WHptbuW7ttRwj,Sky Above,3zNi5dCpkbm4zv7h1vGOMy,['0QWrMNukfcVOmgEU0FEDyD'],251733,False,GBUM71903194,2
38YuwNZvCHCMgju2Z1EbO4,heart of the woods (ending theme),6bmDiNtwe0MgJtdBFu62Oc,"['21tDFddcOFDYmiobTcls2O', '1faC7aPWF4ixGI1Qgu7ort']",193734,False,QM24S1903512,1
0OuOPYd05eORfLw94apb8j,Street by Street,16JUiUeNlBM9cdIyyuN6nw,['7gW0r5CkdEUMm42w9XpyZO'],224098,False,QZDA42007629,1
1ovZe7upcqycTuPFfOg6kB,complex (demo),4iHBCJPZUha2xs84jNZ4jc,['2xCYQunn7ZXK6qOwXWPvcF'],256107,False,GBARL2201889,1
0HAqq2GcQKyi3s87GuN7jU,Amoeba,32ium7Cxb1Xwp2MLzH2459,['3l0CmX0FuQjFxr8SK7Vqag'],228922,False,USUG12101891,2
3qFp7WxvzHbJV6q03GBHYJ,bored like me (demo),2oMbQ7W1QddUdasTYrJdzE,['21TinSsF5ytwsfdyz5VSVS'],122057,False,QMBZ92061356,1
6mOiT65GFmXgBAviM3lrsE,No Buses,3tEGBDGnejHf4mx1YSqKnb,['7Ln80lUS6He07XvHI8qqHH'],197320,False,GBCEL0600172,4
54z3RmcOd1zkkfvHMcmGMb,Moonsetter,2aGpYLE095ndUaPgrkiW6Y,['6eA0EL50jkh6fORlUbivHk'],172512,False,QZBRF1866048,1
5cbVQm11IEZieWTgX1UT25,The Moss,5dNVrubv14f6Qifna7D0bX,['6hV6oxGLeLFw17DGjIPkYD'],242567,False,GBKZV1424960,1
4ROtaPYggXhf9bYV99fHBW,Trust The Light,7o5y1ttfkpL6zf6P2uCYPQ,['7fVp0A6oCMfiQJihMnY0SZ'],99523,False,TCAAS1001908,5
21B9uYkOU8YNeEoT1MAThK,Ofelia,6srokU4vNJ3tpKdGnXhQo0,['27CC3tpq7WQR25M03jKTZm'],257736,False,QZDA71810897,1
2jxCJAQLi7BphBGboUiXoo,Goodnight Daydream,4Vcfu9qYGEO3blWUtLVrMk,['2GQdMSFx2PVb7tupWGU0wV'],289350,False,QZDA71869379,5
4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,0JGOiO34nwfUdDrD612dOp,['6qqNVTkY8uBg9cP3Jd7DAH'],298899,True,USUM72105936,15
2gG2PBhDbYr5necUZGQV9j,Closer,5z0O1rSh0eesSA1Rxk3WQm,"['4uTkTk20MIh9aiPEsZdsoE', '5BALRwYTmJOG5R1I8QaDwm']",277026,False,SEBPA0400069,1
3ThbiGsMJGSLOUHVxyFQQk,Old Soul,4NWvFq8Cst2Y5iHOouXtMz,['0hDjKSKjl1DC7ovYTDJHe8'],186666,False,GBKPL2089420,1
138qk4FBTOtBcrwJC7r8uS,Bonedigger,1HZrdVgSZaffGoAJyn6v94,['5as7SW1R7ACUdkVtmcG7TG'],387386,False,GB7QY1400160,9
49sFu3Kz7zf94qT27b2ZF9,DOWNSIDE,0uJRPvtoXw3k9377EVqShK,['0Raaw7kr1Vzat4ZvHzjsJR'],212822,False,USC4R2338155,1
6RFRUvajtQdmxUPgSeY6tF,Home,6Wpawdx7fSuBAKY0t793fx,['1ZN1c1qWEGZNX1pGeKCPpf'],455693,False,QMUU81911565,5
12l2XM75QCGVCXM37Ktxzs,I Wish I Never Met You,5ZII0xlYQqaeLrnsflv5DU,['6Y2m4AEOS9JFrsK2goyg7T'],211744,False,USUYG1211997,5
6DNCn8t3gwjNDWMOahEwI7,Like Me,6rIM5BWk5RR7ILEmIz24Sx,"['2OfJOtcTmunKs2iIXGC9Ak', '3tc5O6Blz62oYIm6cy6nDN', '2imEuRuSqnOYb6c0JhNb35', '5iDcZ7vN17Cq55AbEqy0aC']",155090,False,QM24S2103440,1
3SCtDdJZ0aKYfJsOQUr5CT,Levers,0AOrNPv4dRKhBAdOsjMrjV,['1IMFkgZ2ZpHknO1v2n97CH'],399426,False,QZBRF1897082,4
0RjG5JmdOWXAR68dGlKBA5,Hidden In the Sand,2TN3NIEBmAOGWmvP96DFs5,['7lqaPghwYv2mE9baz5XQmL'],112960,False,TCAAY1158683,15
1Tdcb66Gwr5sczO5CJhmPc,Poor Grammar,3DjTiR2VRYtZgPeK660iO8,['7dIpKWlEeAljA20vFJ82RD'],156906,False,TCABL1398894,3
5odlY52u43F5BjByhxg7wg,golden hour,69AaAkdktFGnk9POmHENkT,['164Uj4eKjl6zTBKfJLFKKK'],209259,False,GBKPL2204171,3
2wZTxjnKdOpgPLi85ItFlr,One Step Ahead,2XClSOjimwtkeWYPo53mHG,['6PkSULcbxFKkxdgrmPGAvn'],129127,False,USMAR1813202,2
35NX4IIsuOOm6isMzTdqtQ,I Kissed Someone (It Wasn't You),2oMbQ7W1QddUdasTYrJdzE,['21TinSsF5ytwsfdyz5VSVS'],150937,False,QMBZ92061364,3
5Mf8pNKP5NlUKL2cbE81iU,Summer Rain (feat. Madison Cunningham & Chris Thile),13r6eqjYlKELFQlNvVCBz1,"['0QWrMNukfcVOmgEU0FEDyD', '3h9TfIgwhovQELlP2jj4xL', '1dyGPAYZZHHW6WIqwKN5QF']",291200,False,GBUM72310484,7
3VXjddpF7Nb6B95vIiCbuW,Granada,1HCi2zkvXMIxx5cSOZi0mt,['0RZewmdiKrFtejSJ3jfmGs'],192000,False,UKS422200048,2
1rOKAsJZJDIikOKDeUfPRV,Last Words,3SKVtzmihlnGFylW5nC5kj,['1rHOtdmGNr5vcYNw5v7QGC'],109586,False,GBBKS2200111,11
5JjWxPZwXqJpJwAHR8C9yW,When - Live at NPR's Tiny Desk,09doKWQAdgL5up0rN1KPWl,['21TinSsF5ytwsfdyz5VSVS'],218750,False,GBCEN2300065,3
7jaLaID7RPRzgbV8sO5rXc,Perfect Instance,1nPJmrzu2WfmRuLYSobd3e,['4DkYxtaASIKQnk4Gj0TB7k'],253061,False,TCADB1742065,1
7yIoiP1spudd0cuRL6NB9E,My City,0uJIxkI8D0rR4shEIKeiDs,"['3NBmfDV6Yh3hjuQUBVvYgO', '2Z7gV3uEh1ckIaBzTUCE6R', '1r1uxoy19fzMxunt3ONAkG']",244360,False,USJ5G1918807,7
0Gefx5Na9ZomisjCjNrDOj,Smile,3RkbsewdmGrOl1u6F6UfrN,['1faC7aPWF4ixGI1Qgu7ort'],142211,False,GB-SMU-56-03116,1
2n6Q4EEnQGhqikpO8bNAtD,From The Gallows,7q8hYYZgsIQCXibLzwiPll,['0Raaw7kr1Vzat4ZvHzjsJR'],162591,False,US5262023723,5
6WhXTXxUvM3GMI667mLj8s,CHILDHOOD,00txDYFrU4LjWqwKE8iQJA,['6FBDaR13swtiWwGhX1WQsP'],257795,True,USSM12306536,19
1e3TQn0NhAiofH4Zy5AA6b,SHALLOW (PPL SWIM IN SHALLOW WATER),5SgHbxeN3aPBeLfFXOqnxj,['4EnymklUyqZwvmHQGlRssl'],229619,False,GBK3W2202115,1
4dkxQNsQUboUQ2I4wXkE0d,Little Blue - Mahogany Sessions,5xyxuwmqYBy2a2tM4AOLhJ,['0QWrMNukfcVOmgEU0FEDyD'],453364,False,GBUM72311079,1
