id,name,genres,images
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']","['https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f', 'https://i.scdn.co/image/ab676161000051747da39dea0a72f581535fb11f', 'https://i.scdn.co/image/ab6761610000f1787da39dea0a72f581535fb11f']"
3Uqu1mEdkUJxPe7s31n1M9,Weyes Blood,"['art pop', 'chamber pop', 'dream pop', 'experimental folk', 'experimental pop', 'indie pop']","['https://i.scdn.co/image/ab6761610000e5eb3a4a51a2de2f195ae87216e4', 'https://i.scdn.co/image/ab676161000051743a4a51a2de2f195ae87216e4', 'https://i.scdn.co/image/ab6761610000f1783a4a51a2de2f195ae87216e4']"
43JlwunhXm1oqdKyOa2Z9Y,Hiatus Kaiyote,"['alternative r&b', 'australian r&b', 'indie soul', 'shiver pop']","['https://i.scdn.co/image/ab6761610000e5eb9d93bc38b5011e8d921c6c39', 'https://i.scdn.co/image/ab676161000051749d93bc38b5011e8d921c6c39', 'https://i.scdn.co/image/ab6761610000f1789d93bc38b5011e8d921c6c39']"
6pGuw52TrX5SZPdQSxAvgW,Vulfmon,[],"['https://i.scdn.co/image/ab6761610000e5eb5472c8aa544fe619911b743d', 'https://i.scdn.co/image/ab676161000051745472c8aa544fe619911b743d', 'https://i.scdn.co/image/ab6761610000f1785472c8aa544fe619911b743d']"
6QwBhFIOXWri9BNtwoIlKY,Bernadette Carroll,[],"['https://i.scdn.co/image/ab6761610000e5eb0abed7488d2fca64fa278e0e', 'https://i.scdn.co/image/ab676161000051740abed7488d2fca64fa278e0e', 'https://i.scdn.co/image/ab6761610000f1780abed7488d2fca64fa278e0e']"
4jCIAMb0zEArF3GYEYzoDk,Joy Again,['pov: indie'],"['https://i.scdn.co/image/ab6761610000e5eb9cdd5ac9bd79811a7abd8f9a', 'https://i.scdn.co/image/ab676161000051749cdd5ac9bd79811a7abd8f9a', 'https://i.scdn.co/image/ab6761610000f1789cdd5ac9bd79811a7abd8f9a']"
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,['canadian contemporary r&b'],"['https://i.scdn.co/image/ab6761610000e5ebe5bc630548fb3517cf90edb8', 'https://i.scdn.co/image/ab67616100005174e5bc630548fb3517cf90edb8', 'https://i.scdn.co/image/ab6761610000f178e5bc630548fb3517cf90edb8']"
1bwUhKRmEkOZ1wuTnV9XjC,Beach Fossils,"['brooklyn indie', 'indie garage rock', 'indie rock', 'indie surf', 'noise pop', 'popgaze', 'shoegaze']","['https://i.scdn.co/image/ab6761610000e5eb444c5095572ca29a287308d7', 'https://i.scdn.co/image/ab67616100005174444c5095572ca29a287308d7', 'https://i.scdn.co/image/ab6761610000f178444c5095572ca29a287308d7']"
458aS6ALc3QkzwfR5USt34,The Wrecks,"['la indie', 'pov: indie']","['https://i.scdn.co/image/ab6761610000e5eb515ae6c190d295fe773d6581', 'https://i.scdn.co/image/ab67616100005174515ae6c190d295fe773d6581', 'https://i.scdn.co/image/ab6761610000f178515ae6c190d295fe773d6581']"
0BXnfQpsxFevtKePq6eX4y,Chenayder,[],"['https://i.scdn.co/image/ab6761610000e5eb28c9b958ad6bbc2cb115c228', 'https://i.scdn.co/image/ab6761610000517428c9b958ad6bbc2cb115c228', 'https://i.scdn.co/image/ab6761610000f17828c9b958ad6bbc2cb115c228']"
